Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
125,0,3,39,22,0,1778157605710,1778157605778,254710,143671,0
126,0,34,44,0,44,1778157606212,1778157606289,309908,0,309908
127,0,0,34,30,0,1778157606710,1778157606754,255050,225048,0
128,0,21,45,0,45,1778157607217,1778157607303,362242,0,362242
129,0,7,21,15,0,1778157607712,1778157607794,11005,7863,0
130,0,0,35,0,35,1778157608214,1778157608293,35784,0,35784
131,0,0,10,8,0,1778157608714,1778157608790,15163,12130,0
132,0,0,40,0,40,1778157609220,1778157609284,80308,0,80308
133,0,0,0,0,0,1778157609713,1778157609787,0,0,0
134,0,0,48,0,48,1778157610218,1778157610289,144431,0,144431
135,0,0,1,1,0,1778157610716,1778157610782,3499,3499,0
136,0,0,50,0,50,1778157611218,1778157611287,200158,0,200158
137,0,0,2,2,0,1778157611716,1778157611758,8946,8946,0
138,0,0,58,0,58,1778157612222,1778157612302,290894,0,290894
139,0,0,10,3,0,1778157612720,1778157612802,55120,16536,0
140,0,0,47,0,47,1778157613227,1778157613302,282564,0,282564
141,0,0,5,5,0,1778157613719,1778157613788,32466,32466,0
142,0,0,55,0,55,1778157614223,1778157614299,385237,0,385237
143,0,4,40,29,0,1778157614722,1778157614788,299638,217238,0
144,0,0,20,0,20,1778157615224,1778157615288,159806,0,159806
145,0,0,31,25,0,1778157615728,1778157615817,15681,12646,0
146,0,0,28,0,28,1778157616228,1778157616277,27064,0,27064
147,0,0,43,22,0,1778157616722,1778157616769,62602,32027,0
148,0,0,35,0,35,1778157617225,1778157617264,68263,0,68263
149,0,6,27,20,0,1778157617724,1778157617793,66871,49535,0
150,0,0,44,0,44,1778157618227,1778157618317,132003,0,132003
151,0,6,47,36,0,1778157618728,1778157618780,162615,124557,0
152,0,0,31,0,31,1778157619227,1778157619302,123439,0,123439
153,0,0,1,1,0,1778157619725,1778157619789,4468,4468,0
154,0,0,55,0,55,1778157620232,1778157620327,275223,0,275223
155,0,0,4,2,0,1778157620731,1778157620802,21902,10952,0
156,0,0,52,0,52,1778157621232,1778157621301,310603,0,310603
157,0,0,9,5,0,1778157621731,1778157621787,58095,32272,0
158,0,0,47,0,47,1778157622232,1778157622316,328268,0,328268
159,0,1,4,0,0,1778157622733,1778157622807,29891,0,0
160,0,0,64,0,64,1778157623235,1778157623289,509065,0,509065
161,0,0,0,0,0,1778157623731,1778157623791,0,0,0
162,0,0,0,0,0,1778157624231,1778157624285,0,0,0
163,0,0,0,0,0,1778157624731,1778157624806,0,0,0
164,0,0,0,0,0,1778157625232,1778157625289,0,0,0
165,0,39,160,124,0,1778158546386,1778158546447,543838,421446,0
166,0,25,172,38,126,1778158548367,1778158548417,922101,203118,676228
167,0,4,159,86,61,1778158550283,1778158550324,1151816,622542,442394
168,0,36,88,36,45,1778158552277,1778158552317,467605,43555,415580
169,0,35,113,39,66,1778158554271,1778158554301,360152,124097,210600
170,0,24,124,37,74,1778158556275,1778158556345,647646,193082,386746
171,0,45,109,24,76,1778158558269,1778158558299,781687,172029,545143
172,0,31,140,37,93,1778158560293,1778158560339,912011,43891,856250
173,0,54,105,20,77,1778158562269,1778158562306,330780,62868,242760
