Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
130,0,0,129,0,36,1778167442167,1778167442271,674927,0,47587
131,0,0,114,0,24,1778167444158,1778167444222,805476,0,23515
132,0,31,79,79,0,1778167446133,1778167446220,129187,129187,0
133,0,21,150,64,31,1778167448156,1778167448218,496098,232493,62180
134,0,0,135,0,27,1778167450147,1778167450222,658676,0,48080
135,0,17,175,0,73,1778167452183,1778167452271,934014,0,149227
136,0,0,100,64,17,1778167454145,1778167454206,254128,37693,33575
137,0,0,65,3,23,1778167456142,1778167456248,146166,7890,35143
138,0,0,136,0,33,1778167458163,1778167458231,541419,0,65202
139,0,0,112,0,11,1778167460151,1778167460233,688429,0,19563
140,0,0,98,0,0,1778167462147,1778167462207,842058,0,0
141,0,7,117,66,0,1778167464147,1778167464231,187167,105468,0
142,0,6,24,0,7,1778167466135,1778167466195,74613,0,14042
143,0,0,14,0,14,1778167468135,1778167468251,20768,0,20768
144,0,0,0,0,0,1778167470132,1778167470189,0,0,0
145,0,0,0,0,0,1778167472133,1778167472238,0,0,0
146,0,0,0,0,0,1778167474134,1778167474229,0,0,0
