Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
111,3,0,64,2,60,1778167819468,1778167819538,532241,1588,529065
112,3,0,135,7,78,1778167821470,1778167821540,649884,19545,490712
113,3,0,125,12,75,1778167823472,1778167823535,598492,57417,359188
114,3,25,227,20,184,1778167825530,1778167825593,1553048,136757,1259032
115,3,5,231,37,92,1778167827508,1778167827594,1095173,102432,813072
116,3,5,403,62,42,1778167829628,1778167829667,1396498,179071,353929
117,3,3,268,72,5,1778167831522,1778167831579,1285398,345288,24000
118,3,0,89,21,34,1778167833474,1778167833558,602724,142192,230321
120,4,0,196,35,110,1778167837892,1778167838017,2200926,392976,1235323
121,4,26,96,25,38,1778167839536,1778167839607,413069,36573,328184
122,4,50,123,29,55,1778167841532,1778167841618,426098,100284,190984
123,4,45,247,60,87,1778167843673,1778167843745,1374770,333404,485811
124,4,34,138,22,45,1778167845526,1778167845587,1020102,162451,333281
125,4,0,153,25,73,1778167847516,1778167847589,793807,34016,684995
126,4,23,252,55,71,1778167849572,1778167849638,858730,187326,242218
127,4,0,80,17,31,1778167851487,1778167851526,423197,89910,164052
128,4,20,218,34,59,1778167853528,1778167853591,1602000,249802,433829
129,4,23,123,18,62,1778167855501,1778167855612,662966,24234,580838
130,4,0,62,1,60,1778167857504,1778167857594,206364,3320,199724
131,4,0,22,0,22,1778167859482,1778167859551,116154,0,116154
132,4,0,53,2,26,1778167861491,1778167861587,387244,14605,190062
133,4,0,144,13,82,1778167863496,1778167863576,840270,16422,761974
134,4,0,84,0,84,1778167865481,1778167865557,272589,0,272589
135,4,0,0,0,0,1778167867472,1778167867570,0,0,0
136,4,0,0,0,0,1778167869472,1778167869535,0,0,0
137,4,0,0,0,0,1778167871472,1778167871572,0,0,0
