TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
112211361092407136082280668650075362966806618932822622754061560151411016428155,1778170964547,1778170972311,1778170974338,1778170972364,1778170974338,,,9790
89259703644395544077849595885040582613225076832514685656485813709752757401185,1778170980626,1778170988300,1778170990310,1778170988378,1778170990310,,,9684
2619224402520449112187955902524458644042865181426594686270038852397439250627,1778170900130,1778170900201,1778170902314,1778170900270,1778170902314,,,2184
73832140213428278928967511214138146633742580990933825612142620070187650699733,1778170900141,1778170902270,1778170904305,1778170902317,1778170904305,,,4163
91529515211796826079588511530264426425466289126904780789859882655749606414286,1778170916245,1778170922279,1778170924266,1778170922355,1778170924266,,,8021
38467694654751905201511425358101035549664941992164517300481398272185934813483,1778170932363,1778170938252,1778170940359,1778170938335,1778170940359,,,7995
53027226416454940141669015482882484929047954701481972057282599691167434564853,1778170940408,1778170946256,1778170948279,1778170946334,1778170948279,,,7871
56529372433812932613822769612973886498587631356470423425317642882692439487443,1778170940414,1778170948213,1778170950403,1778170948279,1778170950403,,,9988
16873837182569493887167420345733415534646831351510459160792559637354369078230,1778170940416,1778170948280,1778170950277,1778170948336,1778170950277,,,9860
47934180525661708626010040940939688851793212562532159111411456022915192248578,1778170956504,1778170964225,1778170964321,,,,,7816
2034039680720986125667046494942852417314858731710796148058944201704254901502,1778170892094,1778170894239,1778170896308,1778170894297,1778170896308,,,4213
50055577042905740715958965086797717197916914440097493752422049006386567299047,1778170900154,1778170906273,1778170908332,1778170906416,1778170908332,,,8178
89117594437457757915857358994325659967034145247959242563988834540206154402463,1778170916252,1778170922279,1778170924326,1778170922355,1778170924326,,,8074
75045758379306653904586129072477412977283230264682660771209542883986136110193,1778170972582,1778170976295,1778170976419,,,,,3837
18309306817024288585053116732860328551372921079007710980153210318710572693851,1778170972585,1778170978296,1778170980373,1778170978382,1778170980373,,,7787
84011273070523429889807432227761046832292686971397512526455854689603802784141,1778170972587,1778170978296,1778170980261,1778170978382,1778170980261,,,7673
66098941437814880569619781034307245015385525461376604510192631390716839268474,1778170916238,1778170920293,1778170920388,,,,,4149
5756450723714834263658805683602851777047616625396548261645388792393335158679,1778170980618,1778170984297,1778170986342,1778170984366,1778170986342,,,5724
107170071187330944601778090289160382347220826268491025509000361594279003892270,1778170892094,1778170894266,1778170894318,,,,,2224
14930572609236410188678187499666234619259597666411671432253574277954690619768,1778170916252,1778170922279,1778170922355,,,,,6102
45401928624617440957984500640531485396105828433731708879370832603619056022112,1778170916252,1778170924273,1778170926303,1778170924339,1778170926303,,,10051
213605187437369194133929373303697585040234655722212251591087565423930060362,1778170924313,1778170932274,1778170934328,1778170932378,1778170934328,,,10014
14788338729440349310989990071532547738268439387005920389541882362140334852863,1778170940396,1778170942262,1778170944349,1778170942370,1778170944349,,,3953
111316262311229932071035966734344329290413918218830791965735900578997947462617,1778170956473,1778170958213,1778170960351,1778170958300,1778170960351,,,3878
16568171315086656448521571899757460869322471614205022743833757295943324722908,1778170900129,1778170900201,1778170900270,,,,,141
54861751298776776189853619319368115319460743175741130599166607403689055395659,1778170892108,1778170900240,1778170902243,1778170900319,1778170902243,,,10134
97282527305725505727507884956031053675278594997547216036710527487263399270612,1778170900158,1778170906202,1778170908332,1778170906285,1778170908332,,,8174
25195164029619824768404441386408712423288476218589663643189487225741449017096,1778170900163,1778170908282,1778170910354,1778170908372,1778170910354,,,10191
62306823849710524292670430781074566314718129668337412298990432555624660641431,1778170916251,1778170922279,1778170924326,1778170922355,1778170924326,,,8075
14654891252906406635697650909700886136204999349984491959827624535695885576432,1778170932348,1778170934213,1778170934328,,,,,1979
77581628507475228254464535263268917326838101110239887606013141299172217748431,1778170972585,1778170978296,1778170980373,1778170978382,1778170980373,,,7787
59521269409930238237797758256004891612693348655340993006492815885422548047508,1778170916257,1778170924206,1778170926354,1778170924266,1778170926354,,,10096
33142125305199236420265947460155814671929668501395072341363410218366485684997,1778170932352,1778170936283,1778170938380,1778170936360,1778170938380,,,6028
