Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
125,4,0,47,0,0,1778168273481,1778168273531,399478,0,0
126,4,0,121,72,0,1778168275480,1778168275541,178436,105200,0
127,4,27,102,0,8,1778168277487,1778168277554,336930,0,8064
128,4,0,228,0,44,1778168279551,1778168279596,1090580,0,73055
129,4,0,118,0,0,1778168281493,1778168281534,880049,0,0
130,4,0,53,51,0,1778168283474,1778168283544,40434,21502,0
131,4,23,99,0,10,1778168285493,1778168285572,230418,0,10230
132,4,0,138,0,41,1778168287553,1778168287625,505493,0,67003
133,4,0,128,0,0,1778168289491,1778168289576,827459,0,0
134,4,0,46,0,0,1778168291496,1778168291549,387786,0,0
135,4,19,97,97,0,1778168293538,1778168293636,141865,141865,0
136,4,33,121,0,19,1778168295551,1778168295643,394875,0,38361
137,4,0,167,0,52,1778168297503,1778168297550,700603,0,80597
138,4,0,103,0,0,1778168299490,1778168299538,759126,0,0
139,4,0,62,41,0,1778168301512,1778168301602,213876,15807,0
140,4,0,95,27,17,1778168303498,1778168303581,202307,63801,16524
141,4,0,93,0,18,1778168305485,1778168305547,346026,0,19818
142,4,0,115,0,14,1778168307491,1778168307553,668082,0,27090
143,4,0,97,0,18,1778168309487,1778168309543,679645,0,21526
145,5,0,0,0,0,1778168313667,1778168313723,0,0,0
146,5,0,94,28,0,1778168315495,1778168315575,119115,35168,0
147,5,0,112,0,9,1778168317490,1778168317536,341203,0,8604
148,5,0,93,0,10,1778168319502,1778168319583,449519,0,11984
149,5,0,89,0,0,1778168321497,1778168321572,645818,0,0
150,5,0,70,42,0,1778168323486,1778168323538,265734,7560,0
151,5,7,93,16,14,1778168325497,1778168325547,188494,35008,14022
152,5,0,128,0,35,1778168327547,1778168327649,445957,0,45406
153,5,0,82,0,1,1778168329514,1778168329561,504210,0,988
154,5,0,98,0,24,1778168331529,1778168331578,639597,0,31041
155,5,0,84,84,0,1778168333496,1778168333542,94487,94487,0
156,5,35,100,18,37,1778168335508,1778168335556,236048,56502,37232
157,5,40,147,0,47,1778168337514,1778168337583,601298,0,83303
158,5,8,143,0,40,1778168339515,1778168339615,824165,0,82056
159,5,10,63,0,20,1778168341499,1778168341541,419856,0,27389
160,5,53,61,10,6,1778168343531,1778168343584,125812,20970,8886
161,5,47,111,0,3,1778168345559,1778168345629,455742,0,6066
162,5,31,92,0,0,1778168347523,1778168347598,563463,0,0
163,5,38,69,0,0,1778168349516,1778168349576,558695,0,0
164,5,43,41,3,0,1778168351529,1778168351584,386919,3117,0
165,5,48,81,0,1,1778168353526,1778168353602,247440,0,1014
166,5,49,98,0,2,1778168355521,1778168355597,489278,0,3011
167,5,42,105,0,0,1778168357531,1778168357585,740032,0,0
168,5,0,89,0,0,1778168359524,1778168359598,805916,0,0
169,5,0,39,3,0,1778168361502,1778168361539,76558,5673,0
170,5,0,84,0,0,1778168363516,1778168363574,334645,0,0
171,5,0,85,0,0,1778168365517,1778168365580,507888,0,0
172,5,0,97,0,0,1778168367524,1778168367603,774472,0,0
174,6,0,41,0,0,1778168371686,1778168371761,496806,0,0
175,6,0,44,44,0,1778168373499,1778168373572,76980,76980,0
176,6,0,84,0,15,1778168375524,1778168375576,280404,0,14990
177,6,0,145,0,40,1778168377533,1778168377590,667180,0,55315
178,6,0,88,0,0,1778168379516,1778168379566,683475,0,0
179,6,0,64,23,0,1778168381524,1778168381557,414675,15379,0
180,6,19,95,0,9,1778168383530,1778168383583,243613,0,9207
181,6,0,119,0,38,1778168385523,1778168385578,438892,0,57513
182,6,0,80,0,0,1778168387534,1778168387571,535405,0,0
183,6,0,66,0,0,1778168389519,1778168389568,573080,0,0
184,6,0,53,53,0,1778168391510,1778168391575,86311,86311,0
185,6,0,109,0,23,1778168393521,1778168393567,336849,0,22632
186,6,0,146,0,55,1778168395540,1778168395577,589539,0,75378
187,6,0,103,0,0,1778168397540,1778168397591,788300,0,0
188,6,0,74,54,0,1778168399511,1778168399564,222940,30538,0
189,6,0,62,44,18,1778168401515,1778168401565,130849,112903,17946
190,6,22,143,0,39,1778168403555,1778168403612,538425,0,56454
191,6,7,126,0,22,1778168405542,1778168405622,735082,0,44911
192,6,0,106,0,25,1778168407530,1778168407577,726844,0,31628
193,6,0,53,53,0,1778168409526,1778168409608,81106,81106,0
194,6,31,147,0,39,1778168411547,1778168411645,431207,0,40019
195,6,0,150,0,63,1778168413526,1778168413599,575690,0,92203
196,6,0,47,0,0,1778168415515,1778168415576,353325,0,0
197,6,0,66,55,0,1778168417513,1778168417558,128052,23715,0
198,6,22,96,9,16,1778168419526,1778168419596,215644,22221,16530
199,6,0,155,0,42,1778168421526,1778168421561,566409,0,63772
200,6,2,105,0,3,1778168423540,1778168423599,667164,0,6090
201,6,0,89,0,2,1778168425669,1778168425741,754128,0,4328
203,7,0,0,0,0,1778168429509,1778168429575,0,0,0
204,7,0,49,49,0,1778168431536,1778168431609,63135,63135,0
205,7,27,115,0,24,1778168433631,1778168433693,336463,0,25894
206,7,0,164,0,53,1778168435571,1778168435633,673488,0,80669
207,7,0,124,0,0,1778168437579,1778168437614,906044,0,0
208,7,0,69,45,0,1778168439570,1778168439642,235066,11245,0
